"","Start.station","End.station","count"
"358","6th Ave SE & University Ave","Hennepin County Government Center",187
"359","S 5th Street & Nicollet Mall","11th Ave S & S 2nd Street",187
"360","University Ave NE & 12th Ave NE","Logan Park",187
"361","Weisman Art Museum","Sanford Hall",187
"362","4th Street & 13th Ave SE","4th Street S & 19th Ave",186
"363","5th Ave N & 4th Street N","N Washington Ave & 9th Ave N",186
"364","Hennepin County Government Center","SE 3rd Ave & University Ave SE",186
"365","Lake Como Pavilion","Como Park Conservatory",185
"366","Park Ave & 4th Street S","6th Ave SE & University Ave",185
"367","W 50th Street & W Minnehaha Pkwy","Lake Nokomis",185
"368","YWCA Downtown","Hennepin County Government Center",185
"369","100 Main Street SE","Nicollet Island",184
"370","Nice Ride World Headquarters","Nice Ride World Headquarters",184
"371","Sanford Hall","Coffman Union",184
"372","W 50th Street & W Minnehaha Pkwy","W 50th Street & W Minnehaha Pkwy",184
"373","2nd Street N & 8th Ave N","2nd Street N & 8th Ave N",183
"374","Hennepin County Government Center","11th Ave S & S 2nd Street",183
"375","Lake Street & West River Parkway","Lake Street & West River Parkway",183
"376","2nd Ave S & S 3rd Street","2nd Ave S & S 3rd Street",182
"377","4th Street S & 19th Ave","Coffman Union",182
"378","N Milton Street & Summit Ave","N Milton Street & Summit Ave",182
"379","Washington & Cedar","15th Ave SE & 4th Street SE",182
"380","4th Street & 17th Ave SE","4th Street & 17th Ave SE",181
"381","Franklin & 28th Ave","22nd Ave S & Franklin Ave",181
"382","Hennepin County Government Center","Chicago Ave & S Washington Ave",181
"383","N 4th Ave & W River Parkway","11th Ave S & S 2nd Street",181
"384","North 2nd Street & 4th Ave N","10th Street & Nicollet Mall",181
"385","Social Sciences","Oak Street Ramp",181
"386","University of St. Thomas","University of St. Thomas",181
"387","11th Ave S & S 2nd Street","S 5th Street & Nicollet Mall",180
"388","2nd Ave N & N 6th Street","North 2nd Street & 4th Ave N",180
"389","2nd Ave S & S 3rd Street","10th Street & Nicollet Mall",180
"390","Currie Park","Currie Park",180
"391","23rd Ave SE & University Ave SE","4th Street & 13th Ave SE",179
"392","S 5th Street & Nicollet Mall","Washington & Cedar",179
"393","11th Ave S & S 2nd Street","Washington Ave SE & Union Street SE",178
"394","38th Street Light Rail Station","E 38th Street & 42nd Ave S",178
"395","Coffman Union","15th Ave SE & Como Ave SE",178
"396","Como Ave SE & 29th Ave SE","15th Ave SE & 4th Street SE",178
"397","Lake Nokomis","W 50th Street & W Minnehaha Pkwy",178
"398","Nicollet Island","100 Main Street SE",178
"399","IDS Center","Hennepin & Laurel Ave",177
"400","Mill City Quarter","6th Ave SE & University Ave",177
"401","Riverside Ave & 23rd Ave S","Riverside Ave & 23rd Ave S",177
"402","Selby Ave & Virginia Street","Selby Ave & Virginia Street",177
"403","University & Bank Street SE","University & Bank Street SE",177
"404","100 Main Street SE","Hennepin Ave & S Washington Ave",176
"405","22nd Ave S & Franklin Ave","Franklin & 28th Ave",176
"406","23rd Ave SE & 6th Street SE","27th Ave SE & University Ave",176
"407","25th Street & 33rd Ave S","25th Street & 33rd Ave S",176
"408","6th Ave SE & University Ave","IDS Center",176
"409","Como Park Conservatory","Lake Como Pavilion",176
"410","Lake Harriet Bandshell","Lake Nokomis",176
"411","Lake Street & Humboldt","Lake Calhoun Center",176
"412","Washington & Cedar","McNamara Center",176
"413","6th Ave SE & University Ave","Social Sciences",175
"414","Lake Harriet Bandshell","W 50th Street & W Minnehaha Pkwy",175
"415","S 5th Street & Nicollet Mall","Hennepin Ave & S Washington Ave",175
"416","S 5th Street & Nicollet Mall","West 15th Street & Willow",175
"417","11th Ave S & S 2nd Street","Gateway Park",174
"418","Hennepin & Laurel Ave","YWCA Downtown",174
"419","Minnesota Dept. of Transportation","Landmark Plaza",174
"420","7th Street SE & 10th Ave SE","Elliot Hall",173
"421","McNamara Center","Washington & Cedar",173
"422","Midtown Exchange","Midtown YWCA",173
"423","Portland Ave & Washington Ave","100 Main Street SE",173
"424","S 5th Street & Nicollet Mall","Park Ave & 4th Street S",173
"425","Coffman Union","Weisman Art Museum",172
"426","IDS Center","West 15th Street & Willow",172
"427","Upper Landing","Shepard Road & Sibley Street",172
"428","Washington Ave SE & Union Street SE","27th Ave SE & University Ave",172
"429","23rd Ave SE & 6th Street SE","Delaware Street SE & 26th Ave SE",171
"430","4th Street & 17th Ave SE","Willey Hall",170
"431","Sanford Hall","4th Street S & 19th Ave",170
"432","Shepard Road & Sibley Street","Upper Landing",170
"433","University & Bank Street SE","11th Ave S & S 2nd Street",170
"434","15th Ave SE & Como Ave SE","Williamson Hall",169
"435","27th Ave SE & University Ave","23rd Ave SE & 6th Street SE",169
"436","9th Street & 4th Ave","West 15th Street & Willow",169
"437","Social Sciences","Williamson Hall",169
"438","Coffman Union","Washington & Cedar",168
"439","Park Ave & 4th Street S","100 Main Street SE",168
"440","South 2nd Street & 3rd Ave S","11th Ave S & S 2nd Street",168
"441","15th Ave SE & 4th Street SE","Cooke Hall",167
"442","3rd Street N & 8th Ave N","5th Ave N & 4th Street N",166
"443","Lyndale Ave S & 22nd Street ","2nd Ave S & S 3rd Street",166
"444","YWCA Downtown","Groveland Ave & Clifton Place",166
"445","Civil Engineering","6th Ave SE & University Ave",165
"446","MCAD","West 15th Street & Willow",165
"447","Social Sciences","Willey Hall",165
"448","South 2nd Street & 3rd Ave S","100 Main Street SE",165
"449","4th Street & 13th Ave SE","Cooke Hall",164
"450","Coffman Union","23rd Ave SE & 6th Street SE",164
"451","Lake Street & West River Parkway","Bohemian Flats",164
"452","Oak Street Ramp","Williamson Hall",164
"453","Portland Ave & Washington Ave","6th Ave SE & University Ave",164
"454","4th Street & 13th Ave SE","Sanford Hall",163
"455","Social Sciences","4th Street & 13th Ave SE",163
"456","Washington Ave SE & Union Street SE","7th Street SE & 10th Ave SE",163
"457","Midtown YWCA","Midtown YWCA",162
"458","Sanford Hall","Williamson Hall",162
"459","Cooke Hall","4th Street & 13th Ave SE",161
"460","Gateway Park","6th Ave SE & University Ave",161
"461","Hennepin Ave & S Washington Ave","University & Bank Street SE",161
"462","McNamara Center","Washington Ave SE & Union Street SE",161
"463","11th Street & Hennepin","Groveland Ave & Clifton Place",160
"464","15th Ave SE & 4th Street SE","23rd Ave SE & 6th Street SE",160
"465","Grant Street & Portland Ave","11th Street & Marquette",160
"466","Mayo Memorial Building","15th Ave SE & Como Ave SE",160
"467","Midtown Greenway & 5th Ave S","Lyndale Ave S & W 29th Street",160
"468","Washington & Cedar","Washington Ave SE & Union Street SE",160
"469","West 15th Street & Willow","11th Street & Hennepin",160
"470","7th Street SE & 10th Ave SE","7th Street SE & 10th Ave SE",159
"471","Loring Park","Lake Calhoun Center",159
"472","Oak Street Ramp","4th Street & 13th Ave SE",159
"473","Target Field Station","Target Field Station",159
"474","U of M St. Paul Student Center","Como Ave SE & 29th Ave SE",159
"475","University & Bank Street SE","11th Street & Marquette",159
"476","Weisman Art Museum","Coffman Union",159
"477","11th Ave S & S 2nd Street","Mill City Quarter",158
"478","Elliot Park","West 15th Street & Willow",158
"479","Fort Snelling State Park","Coldwater Spring",158
