"","Start.station","End.station","count"
"480","Landmark Plaza","Landmark Plaza",158
"481","Willey Hall","23rd Ave SE & University Ave SE",158
"482","11th Ave S & S 2nd Street","2nd Ave S & S 3rd Street",157
"483","15th Ave SE & 4th Street SE","Washington & Cedar",157
"484","22nd Ave S & Franklin Ave","McNamara Center",157
"485","4th Street S & 19th Ave","McNamara Center",157
"486","Gateway Park","Nicollet Island",157
"487","Coldwater Spring","Fort Snelling State Park",156
"488","Hennepin County Government Center","University & Bank Street SE",156
"489","IDS Center","11th Ave S & S 2nd Street",156
"490","Lyndale Ave S & W 29th Street","Hennepin County Government Center",156
"491","N Washington Ave & 9th Ave N","5th Ave N & 4th Street N",156
"492","Selby Ave & Virginia Street","N Robert Street & E 10th Street",156
"493","West 34th Street  & Hennepin Ave S","Lake Street & Knox Ave S",156
"494","26th Street & Hennepin","Lake Street & Knox Ave S",155
"495","27th Ave SE & University Ave","Williamson Hall",155
"496","4th Street & 17th Ave SE","4th Street & 13th Ave SE",155
"497","S 5th Street & Nicollet Mall","100 Main Street SE",155
"498","Sanford Hall","4th Street & 13th Ave SE",155
"499","YWCA Downtown","IDS Center",155
"500","11th Street & Hennepin","11th Street & Hennepin",154
"501","6th Ave SE & University Ave","Sanford Hall",154
"502","Lyndale Ave S & W 29th Street","Dupont Ave S & W 29th Street",154
"503","11th Ave S & S 2nd Street","N 4th Ave & W River Parkway",153
"504","Washington & Cedar","Gateway Park",153
"505","Gateway Park","S 5th Street & Nicollet Mall",152
"506","Lake Harriet Bandshell","Upton Ave S & Sheridan Ave S",152
"507","Midtown Exchange","Lake Street & Knox Ave S",152
"508","Mill City Quarter","Washington Ave SE & Union Street SE",152
"509","Williamson Hall","15th Ave SE & 4th Street SE",152
"510","Williamson Hall","Williamson Hall",152
"511","27th Ave SE & University Ave","Cooke Hall",151
"512","4th Street & 13th Ave SE","Oak Street Ramp",151
"513","Logan Park","University Ave NE & 12th Ave NE",151
"514","15th Ave SE & 4th Street SE","Civil Engineering",150
"515","Gateway Park","University & Bank Street SE",150
"516","Hennepin Ave & S Washington Ave","6th Ave SE & University Ave",150
"517","Nicollet & Franklin","9th Street & 4th Ave",150
"518","South 2nd Street & 3rd Ave S","6th Ave SE & University Ave",150
"519","4th Street S & 19th Ave","Sanford Hall",149
"520","U of M St. Paul Student Center","U of M St. Paul Student Center",149
"521","YWCA Downtown","S 5th Street & Nicollet Mall",149
"522","15th Ave SE & Como Ave SE","Mayo Memorial Building",148
"523","2nd Ave S & S 3rd Street","6th Ave SE & University Ave",148
"524","Chicago Ave & S Washington Ave","6th Ave SE & University Ave",148
"525","Chicago Ave & S Washington Ave","Gateway Park",148
"526","Hennepin County Government Center","11th Street & Marquette",148
"527","Nicollet Island","11th Ave S & S 2nd Street",148
"528","Walker Art Center","YWCA Downtown",148
"529","Washington Ave S & 10th Ave S","S 5th Street & Nicollet Mall",148
"530","27th Ave SE & University Ave","27th Ave SE & University Ave",147
"531","11th Street & Hennepin","Walker Art Center",146
"532","Elliot Park","Elliot Park",146
"533","IDS Center","2nd Ave S & S 3rd Street",146
"534","100 Main Street SE","6th Ave SE & University Ave",145
"535","7th Street & 4th Ave S","South 2nd Street & 3rd Ave S",145
"536","Hennepin & Central Avenue NE","Hennepin County Government Center",145
"537","Hennepin Ave & S Washington Ave","S 5th Street & Nicollet Mall",145
"538","IDS Center","Washington & Marquette",145
"539","Minneapolis Farmers Market","2nd Ave N & N 6th Street",145
"540","Portland Ave & Washington Ave","11th Ave S & S 2nd Street",145
"541","S 5th Street & Nicollet Mall","North 2nd Street & 4th Ave N",145
"542","Union Depot","Union Depot",145
"543","Willey Hall","Elliot Hall",145
"544","Williamson Hall","Sanford Hall",145
"545","6th Ave SE & University Ave","7th Street & 4th Ave S",144
"546","7th Street & 4th Ave S","Mill City Quarter",144
"547","Midtown Exchange","Lyndale Ave S & W 29th Street",144
"548","Mpls Convention Center","Mpls Convention Center",144
"549","Washington Ave N & Cedar Lake Trail","Washington Ave N & Cedar Lake Trail",144
"550","15th Ave SE & Como Ave SE","Civil Engineering",143
"551","2nd Ave S & S 3rd Street","IDS Center",143
"552","2nd Street SE & 5th Ave SE","University & Bank Street SE",143
"553","IDS Center","2nd Street SE & 5th Ave SE",143
"554","IDS Center","Lyndale Ave S & W 29th Street",143
"555","West 15th Street & Willow","Lake Street & Knox Ave S",143
"556","10th Street & Nicollet Mall","Nicollet & Franklin",142
"557","23rd Ave SE & 6th Street SE","15th Ave SE & 4th Street SE",142
"558","Delaware Street SE & 26th Ave SE","23rd Ave SE & University Ave SE",142
"559","Lake Calhoun Center","Lyndale Ave S & W 29th Street",142
"560","Midtown YWCA","Midtown Exchange",142
"561","Union Depot","Upper Landing",142
"562","Washington Ave S & 10th Ave S","S 8th Street & 2nd Ave S",142
"563","100 Main Street SE","Washington & Marquette",141
"564","11th Ave S & S 2nd Street","Portland Ave & Washington Ave",141
"565","2nd Ave S & S 3rd Street","Lyndale Ave S & 22nd Street ",141
"566","University & Bank Street SE","Hennepin County Government Center",141
"567","11th Street & Hennepin","Lyndale Ave S & 22nd Street ",140
"568","4th Street & 13th Ave SE","23rd Ave SE & University Ave SE",140
"569","6th Ave SE & University Ave","Mill City Quarter",140
"570","7th Street SE & 10th Ave SE","Williamson Hall",140
"571","Como Ave SE & 29th Ave SE","Williamson Hall",140
"572","E Franklin Ave & Bloomington Ave S","E Franklin Ave & Bloomington Ave S",140
"573","Mill City Quarter","Gateway Park",140
"574","Nice Ride World Headquarters","East Lake Street & 36th Ave S",140
"575","Nicollet Island","Gateway Park",140
"576","West 15th Street & Willow","Loring Park",140
"577","10th Street & Nicollet Mall","Grant Street & Portland Ave",139
"578","2nd Ave S & S 3rd Street","Mill City Quarter",139
"579","4th Street & 13th Ave SE","11th Ave S & S 2nd Street",139
"580","5th Street NE & 3rd Ave NE","Gateway Park",139
"581","Civil Engineering","4th Street & 13th Ave SE",139
"582","Oak Street Ramp","Mayo Memorial Building",139
"583","Park Ave & 4th Street S","S 5th Street & Nicollet Mall",139
"584","West 32nd Street & Bryant Ave S","Hennepin County Government Center",139
"585","11th Ave S & S 2nd Street","University & Bank Street SE",138
"586","Broadway & Marshall Street NE","University & Bank Street SE",138
"587","Hiawatha Ave & E 50th Street","Coldwater Spring",138
"588","Hiawatha Ave & E 50th Street","Fort Snelling State Park",138
"589","Lake Street & Knox Ave S","Dupont Ave & 22nd Street",138
"590","Mayo Memorial Building","Willey Hall",138
"591","Mill City Quarter","Washington & Cedar",138
"592","Social Sciences","6th Ave SE & University Ave",138
"593","Washington & Cedar","Mill City Quarter",138
"594","7th Street SE & 10th Ave SE","Coffman Union",137
"595","Dale Street & Grand Ave.","Dale Street & Grand Ave.",137
"596","Mayo Memorial Building","23rd Ave SE & 6th Street SE",137
"597","Minnehaha Park","Fort Snelling State Park",137
"598","Oak Street Ramp","McNamara Center",137
"599","Walker Art Center","YWCA Uptown",137
"600","Washington & Cedar","Sanford Hall",137
"601","Como Ave SE & 29th Ave SE","Civil Engineering",136
"602","Mississippi River Blvd & Summit Ave","Minnehaha Park",136
"603","Park Ave & 4th Street S","11th Ave S & S 2nd Street",136
"604","Upper Landing","Union Depot",136
"605","Walker Art Center","11th Street & Hennepin",136
"606","Gateway Park","Washington & Cedar",135
"607","YWCA Uptown","Lake Street & Knox Ave S",135
"608","4th Street & 13th Ave SE","100 Main Street SE",134
"609","6th Ave SE & University Ave","Chicago Ave & S Washington Ave",134
"610","Dupont Ave & 22nd Street","Lake Street & Knox Ave S",134
"611","Dupont Ave S & W 29th Street","Lake Street & Knox Ave S",134
"612","Lyndale Ave S & W 29th Street","Midtown Greenway & 5th Ave S",134
"613","100 Main Street SE","2nd Ave N & Washington Ave N",133
"614","11th Street & Hennepin","S 5th Street & Nicollet Mall",133
"615","Hennepin Ave & S Washington Ave","North 2nd Street & 4th Ave N",133
"616","N Robert Street & E 10th Street","Union Depot",133
"617","North 2nd Street & 4th Ave N","11th Ave S & S 2nd Street",133
"618","University & Bank Street SE","Gateway Park",133
"619","11th Ave S & S 2nd Street","Park Ave & 4th Street S",132
"620","E 38th Street & 42nd Ave S","E 38th Street & 42nd Ave S",132
"621","Hennepin County Government Center","Lyndale Ave S & W 29th Street",132
"622","Mill City Quarter","2nd Ave S & S 3rd Street",132
"623","Washington Ave SE & Union Street SE","11th Ave S & S 2nd Street",132
"624","100 Main Street SE","South 2nd Street & 3rd Ave S",131
"625","4th Street S & 19th Ave","Washington Ave SE & Union Street SE",131
"626","Mayo Memorial Building","Currie Park",131
"627","North 2nd Street & 4th Ave N","South 2nd Street & 3rd Ave S",131
"628","6th Ave SE & University Ave","2nd Ave S & S 3rd Street",130
"629","Elliot Hall","7th Street SE & 10th Ave SE",130
"630","IDS Center","2nd Ave N & Washington Ave N",130
"631","Lake Street & Knox Ave S","W 31st Street & Hennepin Ave S",130
"632","Lyndale Ave S & 22nd Street ","11th Street & Hennepin",130
"633","Mill City Quarter","Currie Park",130
"634","South 2nd Street & 3rd Ave S","S 5th Street & Nicollet Mall",130
"635","Walker Art Center","Lake Calhoun Center",130
"636","26th Street & Lyndale","Loring Park",129
"637","Dupont Ave S & W 29th Street","Lyndale Ave S & W 29th Street",129
"638","Hennepin & Central Avenue NE","23rd Ave SE & 6th Street SE",129
"639","Mill City Quarter","Washington & Marquette",129
"640","Nicollet & Franklin","7th Street & 4th Ave S",129
"641","Riverside Ave & 23rd Ave S","Franklin & 28th Ave",129
"642","2nd Ave N & Washington Ave N","N Washington Ave & 9th Ave N",128
"643","7th Street SE & 10th Ave SE","Washington Ave SE & Union Street SE",128
"644","Macalester College","Macalester College",128
"645","Park Ave & 4th Street S","IDS Center",128
"646","S 8th Street & 2nd Ave S","North 2nd Street & 4th Ave N",128
"647","Washington Ave N & Cedar Lake Trail","Portland Ave & Washington Ave",128
"648","Washington Ave SE & Union Street SE","23rd Ave SE & 6th Street SE",128
"649","2nd Ave N & Washington Ave N","100 Main Street SE",127
"650","3rd Street N & 8th Ave N","2nd Ave N & N 6th Street",127
"651","9th Street & 4th Ave","Portland Ave & Washington Ave",127
"652","Bohemian Flats","Lake Street & West River Parkway",127
"653","Delaware Street SE & 26th Ave SE","Mayo Memorial Building",127
"654","Delaware Street SE & 26th Ave SE","Weisman Art Museum",127
"655","Hennepin & Central Avenue NE","Logan Park",127
"656","Lyndale Ave S & W 29th Street","Lake Calhoun Center",127
"657","North 2nd Street & 4th Ave N","University & Bank Street SE",127
"658","S 5th Street & Nicollet Mall","Washington & Marquette",127
"659","22nd Ave S & Franklin Ave","Social Sciences",126
"660","23rd Ave SE & University Ave SE","McNamara Center",126
"661","7th Street & 4th Ave S","7th Street & 4th Ave S",126
"662","Hennepin County Government Center","Hennepin & Central Avenue NE",126
"663","Mayo Memorial Building","25th Street & 33rd Ave S",126
"664","Mayo Memorial Building","6th Ave SE & University Ave",126
"665","MCAD","MCAD",126
"666","McNamara Center","2nd Ave S & S 3rd Street",126
"667","South 2nd Street & 3rd Ave S","Washington Ave S & 10th Ave S",126
"668","Washington & Marquette","Washington & Cedar",126
"669","West 15th Street & Willow","MCAD",126
"670","2nd Ave N & Washington Ave N","11th Ave S & S 2nd Street",125
"671","2nd Ave N & Washington Ave N","2nd Ave N & Washington Ave N",125
"672","4th Street & 13th Ave SE","Civil Engineering",125
"673","4th Street S & 19th Ave","6th Ave SE & University Ave",125
"674","6th Ave SE & University Ave","McNamara Center",125
"675","7th Street & 4th Ave S","Park Ave & 4th Street S",125
"676","Gateway Park","McNamara Center",125
"677","Mill City Quarter","North 2nd Street & 4th Ave N",125
"678","SE 3rd Ave & University Ave SE","Hennepin County Government Center",125
"679","Selby Ave & Virginia Street","Landmark Plaza",125
"680","Washington & Marquette","S 5th Street & Nicollet Mall",125
"681","Weisman Art Museum","22nd Ave S & Franklin Ave",125
"682","11th Ave S & S 2nd Street","South 2nd Street & 3rd Ave S",124
"683","15th Ave SE & 4th Street SE","4th Street S & 19th Ave",124
"684","2nd Street SE & 5th Ave SE","11th Ave S & S 2nd Street",124
"685","4th Street S & 19th Ave","4th Street & 13th Ave SE",124
"686","Hennepin County Government Center","Walker Art Center",124
"687","Mayo Memorial Building","McNamara Center",124
"688","McNamara Center","22nd Ave S & Franklin Ave",124
"689","North 2nd Street & 4th Ave N","Washington & Cedar",124
"690","W 31st Street & Hennepin Ave S","Lake Street & Knox Ave S",124
"691","Weisman Art Museum","23rd Ave SE & University Ave SE",124
"692","West 32nd Street & Bryant Ave S","West 32nd Street & Bryant Ave S",124
"693","100 Main Street SE","Logan Park",123
"694","22nd Ave S & Franklin Ave","4th Street S & 19th Ave",123
"695","Cooke Hall","27th Ave SE & University Ave",123
"696","Delaware Street SE & 26th Ave SE","Civil Engineering",123
"697","Franklin & 28th Ave","Franklin & 28th Ave",123
"698","Kellogg Blvd W & Smith Ave","Kellogg Blvd W & Smith Ave",123
"699","Lyndale Ave S & 22nd Street ","IDS Center",123
"700","YWCA Downtown","Walker Art Center",123
"701","100 Main Street SE","S 5th Street & Nicollet Mall",122
"702","23rd Ave SE & University Ave SE","4th Street & 17th Ave SE",122
"703","4th Street & 13th Ave SE","7th Street SE & 10th Ave SE",122
"704","Fort Snelling State Park","Hiawatha Ave & E 50th Street",122
"705","IDS Center","Hennepin County Government Center",122
"706","IDS Center","Park Ave & 4th Street S",122
"707","Lyndale Ave S & W 29th Street","Midtown Exchange",122
"708","Marshall Street NE & 8th Ave NE","Marshall Street NE & 8th Ave NE",122
"709","Mayo Memorial Building","Social Sciences",122
"710","S 5th Street & Nicollet Mall","South 2nd Street & 3rd Ave S",122
"711","Chicago Ave & S Washington Ave","University & Bank Street SE",121
"712","Dupont Ave & 22nd Street","YWCA Uptown",121
"713","Dupont Ave S & W 29th Street","Lyndale Ave S & 22nd Street ",121
"714","Lake Calhoun Center","W 31st Street & Hennepin Ave S",121
"715","Social Sciences","Delaware Street SE & 26th Ave SE",121
"716","South 2nd Street & 3rd Ave S","Gateway Park",121
"717","Wabasha Street S & E Fillmore Ave","Landmark Plaza",121
"718","Washington Ave SE & Union Street SE","Elliot Hall",121
"719","11th Ave S & S 2nd Street","2nd Ave N & Washington Ave N",120
"720","11th Street & Hennepin","Hennepin & Laurel Ave",120
"721","15th Ave SE & 4th Street SE","4th Street & 17th Ave SE",120
"722","IDS Center","Grant Street & Portland Ave",120
"723","Lake Street & Knox Ave S","26th Street & Hennepin",120
"724","Lake Street & Knox Ave S","Midtown Exchange",120
"725","North 2nd Street & 4th Ave N","S 5th Street & Nicollet Mall",120
"726","Park Ave & 4th Street S","Mill City Quarter",120
"727","Williamson Hall","Oak Street Ramp",120
"728","23rd Ave SE & University Ave SE","Delaware Street SE & 26th Ave SE",119
"729","23rd Ave SE & University Ave SE","Social Sciences",119
"730","9th Street & 4th Ave","Park Ave & 4th Street S",119
